round,client_id,loss,rmse,r2,mae,mape,model_type
1,6,0.0017677766736596823,27.749653386609918,0.8886517537023066,18.996331853840108,10.563985175455857,client
1,10,0.0017313272692263126,29.001622366954955,0.9602378116099805,19.078912419467024,2188800.8528679786,client
1,7,0.0014308384852483869,22.77151064652947,0.9212052045471024,16.552671491363398,8.968490063187744,client
1,2,0.0010868764948099852,24.890698651256912,0.9599814193398846,17.487947989892056,3496610.9937862437,client
1,3,0.0022513445001095533,36.1081883022956,0.9409064963839283,24.71619087313269,15.394182126655927,client
1,8,0.002398770535364747,37.95736798766782,0.8533793465556077,26.298706693229192,15.466449564055878,client
1,5,0.0013661901466548443,29.0151764610638,0.946138926582122,20.339015031229028,947006.0834812776,client
1,9,0.0025102950166910887,43.33895880204306,0.9080533468249948,28.7203795636419,13438.324514413447,client
1,4,0.0010533967288210988,28.561347642995205,0.9285114442560994,20.96569944258738,8.776697746273062,client
1,1,0.0013171597383916378,41.62772353563006,0.9270993521478706,28.73440169145189,16.118945003397826,client
1,global,0.0016913975588977337,32.10222477830468,0.9234165101949896,22.189025704983468,664593.1543399593,global
2,10,0.0014301310293376446,26.358510869543757,0.9671549432692835,17.085674097392378,650448.2826820972,client
2,3,0.002069043228402734,34.615398662417924,0.9456918980794938,22.976628971985523,14.398154345979641,client
2,8,0.0022739763371646404,36.95682255623597,0.8610079612712668,25.538295017359708,15.13115900793545,client
2,1,0.001180411665700376,39.40761031857351,0.9346676907077226,26.954096641509434,13.873638887892909,client
2,4,0.0009193196310661733,26.68185081056667,0.9376117375129382,19.55677795594756,8.115814094652105,client
2,7,0.001277148607186973,21.51380345881643,0.9296715175078742,15.291876348280478,7.874803857892204,client
2,2,0.0009777045343071222,23.60754132273473,0.964001111933353,15.382052832802213,1077322.8160914578,client
2,6,0.0015093402471393347,25.6411507316281,0.9049313478393212,17.634229189223657,9.688735471358772,client
2,9,0.002265960443764925,41.17581919018327,0.9170038815163779,26.976789253965602,10304.934200192863,client
2,5,0.0010844666976481676,25.851023267624047,0.9572464338410702,17.670657215746097,921396.0487296847,client
2,global,0.0014987502421718092,30.180953118832445,0.9318988523478702,20.506707752421264,265954.1164009098,global
3,6,0.0013860181206837296,24.571315471303674,0.9126991720273295,17.034125276980088,9.305898391606437,client
3,5,0.0009933284018188715,24.740932007109638,0.960839629185101,16.669647453162355,904070.2549091104,client
3,7,0.0011981275165453553,20.83761672709608,0.934023663101427,14.699278417530815,7.477294840403122,client
3,2,0.000922708713915199,22.933972963805495,0.9660260437633023,15.130706137446955,1631893.6745024847,client
3,10,0.0013552623568102717,25.65928592110193,0.9688743822536653,16.950733051483102,1012287.5633535269,client
3,3,0.0019148238934576511,33.300375189386465,0.9497400975614965,21.885363607463624,13.910963412823529,client
3,4,0.0008556024986319244,25.74060323309377,0.9419361553408687,18.919131185388824,7.818164792047794,client
3,1,0.001071421429514885,37.54426209658175,0.9406998731054755,26.14138112387705,13.622077794019216,client
3,9,0.002157442271709442,40.17776396463751,0.9209787775553263,26.21973426883996,10009.529923273038,client
3,8,0.002177651971578598,36.16562763606098,0.8668961788539878,25.064746875692357,14.91199874322803,client
3,global,0.0014032387174665929,29.167175521017732,0.9362713972747981,19.871484739786514,355832.80690863694,global
4,5,0.0009918002178892493,24.721888511156816,0.9608998536993257,16.57913835138091,902782.3271727978,client
4,4,0.0008390534785576165,25.490442933675304,0.9430593588027234,18.724431873922025,7.753110174987716,client
4,1,0.000990706728771329,36.10238873942026,0.9451670495627651,25.416059908784085,13.395678605737746,client
4,10,0.0013513043522834778,25.621783270092017,0.9689652555251457,16.922308507564548,742705.2616752825,client
4,6,0.0013351531233638525,24.116231730902026,0.9159032380212305,16.806201468605348,9.22737080318578,client
4,7,0.0011857434874400496,20.729644265176116,0.9347055690323233,14.606640411095167,7.386838661337484,client
4,2,0.0008968522888608277,22.61035607986246,0.9669780767277091,14.918557038014171,1188457.5339411795,client
4,3,0.0018659498309716582,32.872643310399525,0.9510230822839266,21.51986689235015,13.791244894552834,client
4,8,0.0021334239281713963,35.796469865001704,0.8695999569003451,24.819513246485762,14.79398529538937,client
4,9,0.002083976985886693,39.48776261011492,0.9236698586638892,25.83492778712126,10756.160063950278,client
4,global,0.001367396442219615,28.754961131580114,0.9379971299219383,19.614764548532342,284476.76310816454,global
5,6,0.0013449187390506268,24.204269183905957,0.9152879786891096,16.91738293305985,9.245136398341636,client
5,10,0.0013492845464497805,25.60262581952901,0.9690116454377078,16.912430561177587,488196.9502738887,client
5,7,0.0012356627266854048,21.161496344212416,0.9319560356594468,14.835058025413858,7.408099319284428,client
5,3,0.0018519111908972263,32.74874084155042,0.9513915888897165,21.35553131209389,13.638118798497741,client
5,1,0.0009970503160730004,36.21778644853118,0.9448160116456171,25.574846974100918,13.37569086043213,client
5,2,0.0009332422050647438,23.064505442210958,0.9656382051408176,15.025750468186706,804502.5973868488,client
5,4,0.0008368854760192335,25.45749369705396,0.9432064069343081,18.7112005384702,7.692747972034211,client
5,8,0.0021751464810222387,36.14481637910015,0.867049081279466,25.055748212327313,14.832906537107407,client
5,9,0.0020679018925875425,39.335178583611665,0.9242585235004181,25.727392789571013,11205.838147053548,client
5,5,0.0010077616898342967,24.9200274776183,0.960270434735324,16.498620495779576,892744.0353771483,client
5,global,0.0013799765263684094,28.885694021732398,0.9372885911911932,19.66139623101809,219671.5613884825,global
